image_id,dog_visible,face_clear,no_duplicate_face_parts,no_extra_legs,one_dog,no_mirror,no_multi_panel,pastel_style,no_realistic_rendering,human_prompt_consistency,human_face_clear,prompt_reflected,brightness_ok,sharpness_ok,pastel_color_ok,time_palette_ok,place_context_ok,no_text,total_score,raw_level,caps_applied,final_level,clip_dog_score,yolo_dog_count,cv_items_scored,error
20260415_100820_048b3f,1,,,,,,1,,,,,,1,0,1,,,1,5,L1,,L1,0.0515,0,6,
20260415_101812_e8a482,1,,,,,,1,,,,,,1,0,1,,,1,5,L1,,L1,0.0241,0,6,
20260415_104723_a91139,1,,,,,,1,,,,,,1,0,1,,,1,5,L1,,L1,0.0462,0,6,
20260415_105503_770317,1,,,,,,1,,,,,,1,0,1,,,1,5,L1,,L1,0.0585,0,6,
20260415_113143_64da8a,1,,,,,,1,,,,,,1,0,1,,,1,5,L1,,L1,0.0392,0,6,
20260415_135430_4dcd30,1,,,,,,1,,,,,,1,0,1,,,1,5,L1,,L1,0.0426,0,6,
20260415_150630_acd529,1,,,,,,1,,,,,,1,0,1,,,1,5,L1,,L1,0.0415,0,6,
20260415_151718_79edfe,1,,,,,,1,,,,,,1,1,1,,,1,6,L1,,L1,0.0604,0,6,
20260415_152316_c486a4,1,,,,,,1,,,,,,1,0,1,,,0,4,L1,no_text->L3,L1,0.033,0,6,
20260415_152612_8817b3,1,,,,,,1,,,,,,1,0,1,,,1,5,L1,,L1,0.0419,0,6,
